property1,property2,value
Non-Spike B.2 weeks,Non-Spike B.2 weeks,0.4660226687168336
Non-Spike B.2 weeks,Non-Spike B.4 weeks,0.47007839016410896
Non-Spike B.2 weeks,Non-Spike B.1 baseline,0.48788301780198284
Non-Spike B.2 weeks,Spike+ Mem B.4 weeks,0.26629783796379736
Non-Spike B.2 weeks,Spike+ Mem B.2 weeks,0.16922949893196954
Non-Spike B.2 weeks,Spike+ Mem B.1 baseline,4.522922502877308e-2
Non-Spike B.4 weeks,Non-Spike B.2 weeks,0.47007839016410896
Non-Spike B.4 weeks,Non-Spike B.4 weeks,0.49764015413962126
Non-Spike B.4 weeks,Non-Spike B.1 baseline,0.3616654369028885
Non-Spike B.4 weeks,Spike+ Mem B.4 weeks,0.22016419616118596
Non-Spike B.4 weeks,Spike+ Mem B.2 weeks,0.1389931675324139
Non-Spike B.4 weeks,Spike+ Mem B.1 baseline,3.0778356995808605e-2
Non-Spike B.1 baseline,Non-Spike B.2 weeks,0.48788301780198284
Non-Spike B.1 baseline,Non-Spike B.4 weeks,0.3616654369028885
Non-Spike B.1 baseline,Non-Spike B.1 baseline,0.4619857434939595
Non-Spike B.1 baseline,Spike+ Mem B.4 weeks,0.18644094714816126
Non-Spike B.1 baseline,Spike+ Mem B.2 weeks,0.10305598502112981
Non-Spike B.1 baseline,Spike+ Mem B.1 baseline,2.7271740902107468e-2
Spike+ Mem B.4 weeks,Non-Spike B.2 weeks,0.26629783796379736
Spike+ Mem B.4 weeks,Non-Spike B.4 weeks,0.22016419616118596
Spike+ Mem B.4 weeks,Non-Spike B.1 baseline,0.18644094714816126
Spike+ Mem B.4 weeks,Spike+ Mem B.4 weeks,0.6568480580117789
Spike+ Mem B.4 weeks,Spike+ Mem B.2 weeks,9.329978492694667e-2
Spike+ Mem B.4 weeks,Spike+ Mem B.1 baseline,9.805308102783357e-3
Spike+ Mem B.2 weeks,Non-Spike B.2 weeks,0.16922949893196954
Spike+ Mem B.2 weeks,Non-Spike B.4 weeks,0.1389931675324139
Spike+ Mem B.2 weeks,Non-Spike B.1 baseline,0.10305598502112981
Spike+ Mem B.2 weeks,Spike+ Mem B.4 weeks,9.329978492694667e-2
Spike+ Mem B.2 weeks,Spike+ Mem B.2 weeks,0.7743986567733853
Spike+ Mem B.2 weeks,Spike+ Mem B.1 baseline,1.282135368718025e-2
Spike+ Mem B.1 baseline,Non-Spike B.2 weeks,4.522922502877308e-2
Spike+ Mem B.1 baseline,Non-Spike B.4 weeks,3.0778356995808605e-2
Spike+ Mem B.1 baseline,Non-Spike B.1 baseline,2.7271740902107468e-2
Spike+ Mem B.1 baseline,Spike+ Mem B.4 weeks,9.805308102783357e-3
Spike+ Mem B.1 baseline,Spike+ Mem B.2 weeks,1.282135368718025e-2
Spike+ Mem B.1 baseline,Spike+ Mem B.1 baseline,0.9423029961925529
